Imagen,ID,X,Y,Width,Height,Área,Perímetro,Circularidad,Contraste,Energía,Homogeneidad,Cluster Shade,Cluster Prominencia,Correlación Haralick,Entropía
1.png,0,861,1195,13,5,37,28.48528123,0.573021035,3.65,0.308445925,0.609262443,301.7428241,6839.318605,0.718795142,4.091853604
1.png,1,896,1186,31,14,286,75.45584357,0.631233646,14.80238095,0.131535498,0.496415689,97316.70855,11438233.91,0.981535249,6.862113751
1.png,2,985,1155,102,45,3457.5,257.7817439,0.653834358,31.33751375,0.127455424,0.570139608,338773.9133,89331764.29,0.990003317,8.105787239
1.png,3,137,1139,108,61,3887.5,346.00714,0.408046958,29.8443389,0.10269511,0.512686667,106807.6012,87418167.18,0.992471577,8.726080938
1.png,4,1540,1132,60,68,2234,214.5096678,0.610097566,41.52168495,0.220457022,0.559547701,-127704.2416,195783500.9,0.993200198,7.957116071
1.png,5,1413,1083,135,112,10403,415.8477598,0.75596159,43.35461087,0.128571711,0.53212653,518917.3988,350427942.8,0.994335341,9.44082432
1.png,6,567,1057,103,111,8806.5,351.9482652,0.893419744,24.68318318,0.123133846,0.567205401,82034.93717,92337503.89,0.993391455,8.865982708
1.png,7,1239,1054,111,107,9140.5,357.6051195,0.898198576,31.42353441,0.108556073,0.547335044,324003.1496,108055401.5,0.992345054,8.994160618
1.png,8,1446,1032,104,67,5330,291.1370835,0.790209086,44.6564266,0.087130228,0.448868768,376032.3971,244372879,0.992389707,9.769054884
1.png,9,206,1019,109,105,8771.5,350.7766924,0.895823136,26.27195767,0.090948728,0.488889301,111962.4959,82530859.79,0.992393144,9.347071854
1.png,10,895,986,110,108,9320,360.5340524,0.901017438,31.7851682,0.112462697,0.508767095,194450.1415,104387783.1,0.991805154,9.251226958
1.png,11,1543,963,57,137,4364,375.2203439,0.389512906,40.77254953,0.088078048,0.455394722,15657.54518,62296592.6,0.986153217,9.216467378
1.png,12,150,892,103,104,8120.5,339.1198373,0.887332205,25.8247549,0.123107917,0.531037339,60012.52329,70180620.74,0.992314135,8.668688952
1.png,13,0,886,88,111,8000,338.9360728,0.875113261,31.90866729,0.112176505,0.570733948,704277.7334,177529984.3,0.99332183,8.717241735
